,0
Route Comparison_DAC-CGP_vs_DAC-SIN,"{'t_statistic': -inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-CGP_vs_DAC-KUL,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-CGP_vs_DAC-LHR,"{'t_statistic': -inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-CGP_vs_DAC-MAN,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-CGP_vs_DAC-NRT,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-CGP_vs_DAC-DEL,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-CGP_vs_DAC-CCU,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-ZYL_vs_DAC-DXB,"{'t_statistic': -inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-ZYL_vs_DAC-AUH,"{'t_statistic': -inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-ZYL_vs_DAC-SIN,"{'t_statistic': -inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-ZYL_vs_DAC-KUL,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-ZYL_vs_DAC-LHR,"{'t_statistic': -inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-ZYL_vs_DAC-MAN,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-ZYL_vs_DAC-NRT,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-ZYL_vs_DAC-DEL,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-ZYL_vs_DAC-CCU,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-DXB_vs_DAC-AUH,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-DXB_vs_DAC-SIN,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-DXB_vs_DAC-KUL,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-DXB_vs_DAC-LHR,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-DXB_vs_DAC-MAN,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-DXB_vs_DAC-NRT,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
Route Comparison_DAC-DXB_vs_DAC-DEL,"{'t_statistic': inf, 'p_value': 0.0, 'significant_difference': True}"
